fund_code,fund_code_6,基金全称,基金简称,基金代码,基金类型,发行日期,成立日期/规模,净资产规模,份额规模,基金管理人,基金托管人,基金经理人,成立来分红,管理费率,托管费率,销售服务费率,最高认购费率,业绩比较基准,跟踪标的,成立日期,fund_type,inception_date,latest_scale,benchmark,management_company,custodian,subscription_status,redemption_status,management_fee,custodian_fee,sales_service_fee,investment_style,investment_target,risk_level,最高申购费率,最高赎回费率,latest_scale_yi,inception_date_fixed,fund_type_fixed
6888,6888,诺德新生活混合型证券投资基金,诺德新生活混合C,006888（前端）基金类型混合型-偏股,混合型-偏股,2019年02月01日,2019年03月28日 / 2.268亿份,24.66亿元（截止至：2026年06月30日）份额规模5.6538亿份（截止至：2026年06月30日）,5.6538亿份（截止至：2026年06月30日）,诺德基金,农业银行,周建胜,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.10%（每年）,0.00%（前端）,60%×沪深300指数收益率+40%×中国债券总指数收益率,该基金无跟踪标的,2019-03-28,混合型-偏股,2019-03-28,,60%×沪深300指数收益率+40%×中国债券总指数收益率,诺德基金,农业银行,,,1.20%（每年）,0.20%（每年）,0.10%（每年）,,,,0.00%（前端）,1.50%（前端）,2.268,2019-03-28,混合型-偏股
6904,6904,泰康产业升级混合型证券投资基金,泰康产业升级混合A,006904（前端）基金类型混合型-偏股,混合型-偏股,2019年04月15日,2019年05月17日 / 3.117亿份,7.41亿元（截止至：2026年06月30日）份额规模2.0493亿份（截止至：2026年06月30日）,2.0493亿份（截止至：2026年06月30日）,泰康基金,建设银行,薛小波,每份累计0.17元（2次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,沪深300指数收益率*50%+恒生指数收益率*25%+中债综合全价指数收益率*25%,该基金无跟踪标的,2019-05-17,混合型-偏股,2019-05-17,,沪深300指数收益率*50%+恒生指数收益率*25%+中债综合全价指数收益率*25%,泰康基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,3.117,2019-05-17,混合型-偏股
6905,6905,泰康产业升级混合型证券投资基金,泰康产业升级混合C,006905（前端）基金类型混合型-偏股,混合型-偏股,2019年04月15日,2019年05月17日 / 3.117亿份,6.24亿元（截止至：2026年06月30日）份额规模1.798亿份（截止至：2026年06月30日）,1.798亿份（截止至：2026年06月30日）,泰康基金,建设银行,薛小波,每份累计0.17元（2次）,1.20%（每年）,0.20%（每年）,0.50%（每年）,0.00%（前端）,沪深300指数收益率*50%+恒生指数收益率*25%+中债综合全价指数收益率*25%,该基金无跟踪标的,2019-05-17,混合型-偏股,2019-05-17,,沪深300指数收益率*50%+恒生指数收益率*25%+中债综合全价指数收益率*25%,泰康基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.50%（每年）,,,,0.00%（前端）,1.50%（前端）,3.117,2019-05-17,混合型-偏股
6969,6969,圆信永丰高端制造混合型证券投资基金,圆信永丰高端制造A,006969（前端）基金类型混合型-偏股,混合型-偏股,2019年03月06日,2019年04月04日 / 4.380亿份,5.33亿元（截止至：2026年06月30日）份额规模1.5081亿份（截止至：2026年06月30日）,1.5081亿份（截止至：2026年06月30日）,圆信永丰基金,工商银行,明兴,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证高端制造主题指数收益率*70%+上证国债指数收益率*30%,该基金无跟踪标的,2019-04-04,混合型-偏股,2019-04-04,,中证高端制造主题指数收益率*70%+上证国债指数收益率*30%,圆信永丰基金,工商银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,4.38,2019-04-04,混合型-偏股
6976,6976,鹏华核心优势混合型证券投资基金,鹏华核心优势混合A,006976（前端）基金类型混合型-偏股,混合型-偏股,2019年02月11日,2019年04月03日 / 5.245亿份,5.07亿元（截止至：2026年06月30日）份额规模0.832亿份（截止至：2026年06月30日）,0.832亿份（截止至：2026年06月30日）,鹏华基金,建设银行,黄奕松,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,沪深300指数收益率*70%+中证综合债指数收益率*30%,该基金无跟踪标的,2019-04-03,混合型-偏股,2019-04-03,,沪深300指数收益率*70%+中证综合债指数收益率*30%,鹏华基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,5.245,2019-04-03,混合型-偏股
7049,7049,平安鑫安混合型证券投资基金,平安鑫安混合E,007049（前端）基金类型混合型-灵活,混合型-灵活,2019年02月18日,2019年02月19日 / --,7.82亿元（截止至：2026年06月30日）份额规模2.4362亿份（截止至：2026年06月30日）,2.4362亿份（截止至：2026年06月30日）,平安基金,中国银行,林清源,每份累计0.00元（0次）,0.60%（每年）,0.10%（每年）,0.10%（每年）,---（前端）,中证800指数收益率*80%+中债-综合财富(1-3年)指数收益率*20%,该基金无跟踪标的,2019-02-19,混合型-灵活,2019-02-19,,中证800指数收益率*80%+中债-综合财富(1-3年)指数收益率*20%,平安基金,中国银行,,,0.60%（每年）,0.10%（每年）,0.10%（每年）,,,,0.00%（前端）,1.50%（前端）,7.82,2019-02-19,混合型-灵活
7113,7113,永赢高端制造混合型证券投资基金,永赢高端制造混合A,007113（前端）基金类型混合型-偏股,混合型-偏股,2019年10月08日,2019年11月01日 / 30.461亿份,7.41亿元（截止至：2026年06月30日）份额规模2.1183亿份（截止至：2026年06月30日）,2.1183亿份（截止至：2026年06月30日）,永赢基金,交通银行,胡泽,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,申银万国制造业指数收益率*60%+中债综合指数收益率*40%,该基金无跟踪标的,2019-11-01,混合型-偏股,2019-11-01,,申银万国制造业指数收益率*60%+中债综合指数收益率*40%,永赢基金,交通银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,30.461,2019-11-01,混合型-偏股
7114,7114,永赢高端制造混合型证券投资基金,永赢高端制造混合C,007114（前端）基金类型混合型-偏股,混合型-偏股,2019年10月08日,2019年11月01日 / 30.461亿份,12.17亿元（截止至：2026年06月30日）份额规模3.5272亿份（截止至：2026年06月30日）,3.5272亿份（截止至：2026年06月30日）,永赢基金,交通银行,胡泽,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.20%（每年）,0.00%（前端）,申银万国制造业指数收益率*60%+中债综合指数收益率*40%,该基金无跟踪标的,2019-11-01,混合型-偏股,2019-11-01,,申银万国制造业指数收益率*60%+中债综合指数收益率*40%,永赢基金,交通银行,,,1.20%（每年）,0.20%（每年）,0.20%（每年）,,,,0.00%（前端）,1.50%（前端）,30.461,2019-11-01,混合型-偏股
7305,7305,国联安新科技混合型证券投资基金,国联安新科技混合,007305（前端）基金类型混合型-偏股,混合型-偏股,2019年06月26日,2019年09月27日 / 2.145亿份,1.54亿元（截止至：2026年06月30日）份额规模0.3582亿份（截止至：2026年06月30日）,0.3582亿份（截止至：2026年06月30日）,国联安基金,交通银行,高诗,每份累计0.12元（1次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,中国战略新兴产业成份指数收益率*80%+中证港股通科技指数(人民币)收益率*5%+上证国债指数收益率*10%+活期存款基准利率*5%,该基金无跟踪标的,2019-09-27,混合型-偏股,2019-09-27,,中国战略新兴产业成份指数收益率*80%+中证港股通科技指数(人民币)收益率*5%+上证国债指数收益率*10%+活期存款基准利率*5%,国联安基金,交通银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,2.145,2019-09-27,混合型-偏股
7340,7340,南方科技创新混合型证券投资基金,南方科技创新混合A,007340（前端）基金类型混合型-偏股,混合型-偏股,2019年04月29日,2019年05月06日 / 9.884亿份,17.26亿元（截止至：2026年06月30日）份额规模3.8206亿份（截止至：2026年06月30日）,3.8206亿份（截止至：2026年06月30日）,南方基金,建设银行,王博,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中国战略新兴产业成份指数收益率*80%+中证港股通科技指数(港元)收益率*10%+中债-综合财富(1-3年)指数收益率*10%,该基金无跟踪标的,2019-05-06,混合型-偏股,2019-05-06,,中国战略新兴产业成份指数收益率*80%+中证港股通科技指数(港元)收益率*10%+中债-综合财富(1-3年)指数收益率*10%,南方基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,9.884,2019-05-06,混合型-偏股
7341,7341,南方科技创新混合型证券投资基金,南方科技创新混合C,007341（前端）基金类型混合型-偏股,混合型-偏股,2019年04月29日,2019年05月06日 / 9.884亿份,2.21亿元（截止至：2026年06月30日）份额规模0.5188亿份（截止至：2026年06月30日）,0.5188亿份（截止至：2026年06月30日）,南方基金,建设银行,王博,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%（前端）,中国战略新兴产业成份指数收益率*80%+中证港股通科技指数(港元)收益率*10%+中债-综合财富(1-3年)指数收益率*10%,该基金无跟踪标的,2019-05-06,混合型-偏股,2019-05-06,,中国战略新兴产业成份指数收益率*80%+中证港股通科技指数(港元)收益率*10%+中债-综合财富(1-3年)指数收益率*10%,南方基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.80%（每年）,,,,0.00%（前端）,1.50%（前端）,9.884,2019-05-06,混合型-偏股
7343,7343,嘉实科技创新混合型证券投资基金,嘉实科技创新混合,007343（前端）基金类型混合型-偏股,混合型-偏股,2019年04月29日,2019年05月07日 / 9.887亿份,78.02亿元（截止至：2026年06月30日）份额规模10.5822亿份（截止至：2026年06月30日）,10.5822亿份（截止至：2026年06月30日）,嘉实基金,招商银行,王贵重,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）,中国战略新兴产业成份指数收益率×65%+恒生指数收益率×15%+中债综合财富指数收益率×20%,该基金无跟踪标的,2019-05-07,混合型-偏股,2019-05-07,,中国战略新兴产业成份指数收益率×65%+恒生指数收益率×15%+中债综合财富指数收益率×20%,嘉实基金,招商银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,9.887,2019-05-07,混合型-偏股
7346,7346,易方达科技创新混合型证券投资基金,易方达科技创新混合A,007346（前端）基金类型混合型-偏股,混合型-偏股,2019年04月26日,2019年04月29日 / 9.885亿份,34.02亿元（截止至：2026年06月30日）份额规模4.5185亿份（截止至：2026年06月30日）,4.5185亿份（截止至：2026年06月30日）,易方达基金,中国银行,蔡荣成,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,中国战略新兴产业成份指数收益率*70%+中证港股通综合指数收益率*10%+中债总指数收益率*20%,该基金无跟踪标的,2019-04-29,混合型-偏股,2019-04-29,,中国战略新兴产业成份指数收益率*70%+中证港股通综合指数收益率*10%+中债总指数收益率*20%,易方达基金,中国银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,9.885,2019-04-29,混合型-偏股
7349,7349,华夏科技创新混合型证券投资基金,华夏科技创新混合A,007349（前端）基金类型混合型-偏股,混合型-偏股,2019年04月29日,2019年05月06日 / 9.884亿份,16.69亿元（截止至：2026年06月30日）份额规模4.2778亿份（截止至：2026年06月30日）,4.2778亿份（截止至：2026年06月30日）,华夏基金,建设银行,高翔,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中国战略新兴产业成份指数收益率*70%+中证港股通科技指数(人民币)收益率*20%+上证国债指数收益率*10%,该基金无跟踪标的,2019-05-06,混合型-偏股,2019-05-06,,中国战略新兴产业成份指数收益率*70%+中证港股通科技指数(人民币)收益率*20%+上证国债指数收益率*10%,华夏基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,9.884,2019-05-06,混合型-偏股
7350,7350,华夏科技创新混合型证券投资基金,华夏科技创新混合C,007350（前端）基金类型混合型-偏股,混合型-偏股,2019年04月29日,2019年05月06日 / 9.884亿份,2.22亿元（截止至：2026年06月30日）份额规模0.5962亿份（截止至：2026年06月30日）,0.5962亿份（截止至：2026年06月30日）,华夏基金,建设银行,高翔,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%（前端）,中国战略新兴产业成份指数收益率*70%+中证港股通科技指数(人民币)收益率*20%+上证国债指数收益率*10%,该基金无跟踪标的,2019-05-06,混合型-偏股,2019-05-06,,中国战略新兴产业成份指数收益率*70%+中证港股通科技指数(人民币)收益率*20%+上证国债指数收益率*10%,华夏基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.80%（每年）,,,,0.00%（前端）,1.50%（前端）,9.884,2019-05-06,混合型-偏股
7353,7353,工银瑞信科技创新混合型证券投资基金,工银科技创新混合,007353（前端）基金类型混合型-偏股,混合型-偏股,2019年04月29日,2019年05月06日 / 9.895亿份,7.35亿元（截止至：2026年06月30日）份额规模1.85亿份（截止至：2026年06月30日）,1.85亿份（截止至：2026年06月30日）,工银瑞信基金,招商银行,胡志利,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）,中国战略新兴产业成份指数收益率*70%+恒生指数收益率*5%+中债综合财富(总值)指数收益率*25%,该基金无跟踪标的,2019-05-06,混合型-偏股,2019-05-06,,中国战略新兴产业成份指数收益率*70%+恒生指数收益率*5%+中债综合财富(总值)指数收益率*25%,工银瑞信基金,招商银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,9.895,2019-05-06,混合型-偏股
7449,7449,兴全多维价值混合型证券投资基金,兴全多维价值混合A,007449（前端）基金类型混合型-偏股,混合型-偏股,2019年05月27日,2019年06月12日 / 39.968亿份,51.95亿元（截止至：2026年06月30日）份额规模15.3066亿份（截止至：2026年06月30日）,15.3066亿份（截止至：2026年06月30日）,兴证全球基金,建设银行,杨世进,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,沪深300指数收益率×60%+恒生指数收益率(使用估值汇率折算)×20%+中债综合(全价)指数收益率×20%,该基金无跟踪标的,2019-06-12,混合型-偏股,2019-06-12,,沪深300指数收益率×60%+恒生指数收益率(使用估值汇率折算)×20%+中债综合(全价)指数收益率×20%,兴证全球基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,39.968,2019-06-12,混合型-偏股
7450,7450,兴全多维价值混合型证券投资基金,兴全多维价值混合C,007450（前端）基金类型混合型-偏股,混合型-偏股,2019年05月27日,2019年06月12日 / 39.968亿份,22.50亿元（截止至：2026年06月30日）份额规模6.9205亿份（截止至：2026年06月30日）,6.9205亿份（截止至：2026年06月30日）,兴证全球基金,建设银行,杨世进,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.60%（每年）,0.00%（前端）,沪深300指数收益率×60%+恒生指数收益率(使用估值汇率折算)×20%+中债综合(全价)指数收益率×20%,该基金无跟踪标的,2019-06-12,混合型-偏股,2019-06-12,,沪深300指数收益率×60%+恒生指数收益率(使用估值汇率折算)×20%+中债综合(全价)指数收益率×20%,兴证全球基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.60%（每年）,,,,0.00%（前端）,1.50%（前端）,39.968,2019-06-12,混合型-偏股
7490,7490,南方信息创新混合型证券投资基金,南方信息创新混合A,007490（前端）基金类型混合型-偏股,混合型-偏股,2019年06月05日,2019年06月19日 / 5.366亿份,71.38亿元（截止至：2026年06月30日）份额规模10.5837亿份（截止至：2026年06月30日）,10.5837亿份（截止至：2026年06月30日）,南方基金,建设银行,郑晓曦,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证信息技术指数收益率*80%+中证港股通TMT主题指数(人民币)收益率*10%+中债-综合财富(1-3年)指数收益率*10%,该基金无跟踪标的,2019-06-19,混合型-偏股,2019-06-19,,中证信息技术指数收益率*80%+中证港股通TMT主题指数(人民币)收益率*10%+中债-综合财富(1-3年)指数收益率*10%,南方基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,5.366,2019-06-19,混合型-偏股
7491,7491,南方信息创新混合型证券投资基金,南方信息创新混合C,007491（前端）基金类型混合型-偏股,混合型-偏股,2019年06月05日,2019年06月19日 / 5.366亿份,85.42亿元（截止至：2026年06月30日）份额规模13.3976亿份（截止至：2026年06月30日）,13.3976亿份（截止至：2026年06月30日）,南方基金,建设银行,郑晓曦,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.80%（每年）,0.00%（前端）,中证信息技术指数收益率*80%+中证港股通TMT主题指数(人民币)收益率*10%+中债-综合财富(1-3年)指数收益率*10%,该基金无跟踪标的,2019-06-19,混合型-偏股,2019-06-19,,中证信息技术指数收益率*80%+中证港股通TMT主题指数(人民币)收益率*10%+中债-综合财富(1-3年)指数收益率*10%,南方基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.80%（每年）,,,,0.00%（前端）,1.50%（前端）,5.366,2019-06-19,混合型-偏股
7639,7639,汇添富竞争优势灵活配置混合型证券投资基金,汇添富竞争优势灵活配置混合,007639（前端）基金类型混合型-灵活,混合型-灵活,2019年07月31日,2019年09月04日 / 11.540亿份,55.97亿元（截止至：2026年06月30日）份额规模17.1914亿份（截止至：2026年06月30日）,17.1914亿份（截止至：2026年06月30日）,汇添富基金,招商银行,马磊,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,该基金无跟踪标的,2019-09-04,混合型-灵活,2019-09-04,,沪深300指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+中债综合指数收益率*20%,汇添富基金,招商银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,11.54,2019-09-04,混合型-灵活
7731,7731,民生加银持续成长混合型证券投资基金,民生加银持续成长混合A,007731（前端）基金类型混合型-偏股,混合型-偏股,2019年08月26日,2019年09月24日 / 40.979亿份,3.32亿元（截止至：2026年06月30日）份额规模1.1127亿份（截止至：2026年06月30日）,1.1127亿份（截止至：2026年06月30日）,民生加银基金,建设银行,范明月,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,沪深300指数收益率×60%+恒生综合指数收益率×10%+中债综合指数收益率×30%,该基金无跟踪标的,2019-09-24,混合型-偏股,2019-09-24,,沪深300指数收益率×60%+恒生综合指数收益率×10%+中债综合指数收益率×30%,民生加银基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,40.979,2019-09-24,混合型-偏股
7895,7895,嘉实价值成长混合型证券投资基金,嘉实价值成长混合,007895（前端）基金类型混合型-偏股,混合型-偏股,2019年08月26日,2019年09月10日 / 27.148亿份,3.90亿元（截止至：2026年06月30日）份额规模2.3433亿份（截止至：2026年06月30日）,2.3433亿份（截止至：2026年06月30日）,嘉实基金,工商银行,刘杰,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）,中证800指数收益率*70%+中证港股通综合指数(人民币)收益率*20%+中债-综合财富(总值)指数收益率*10%,该基金无跟踪标的,2019-09-10,混合型-偏股,2019-09-10,,中证800指数收益率*70%+中证港股通综合指数(人民币)收益率*20%+中债-综合财富(总值)指数收益率*10%,嘉实基金,工商银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,27.148,2019-09-10,混合型-偏股
8185,8185,诺安研究优选混合型证券投资基金,诺安研究优选混合A,008185（前端）基金类型混合型-偏股,混合型-偏股,2020年04月07日,2020年05月09日 / 11.750亿份,11.12亿元（截止至：2026年06月30日）份额规模4.2135亿份（截止至：2026年06月30日）,4.2135亿份（截止至：2026年06月30日）,诺安基金,交通银行,邓心怡、周靖翔,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,沪深300指数收益率*70%+中证全债指数收益率*30%,该基金无跟踪标的,2020-05-09,混合型-偏股,2020-05-09,,沪深300指数收益率*70%+中证全债指数收益率*30%,诺安基金,交通银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,11.75,2020-05-09,混合型-偏股
8208,8208,博道嘉泰回报混合型证券投资基金,博道嘉泰回报混合,008208（前端）基金类型混合型-灵活,混合型-灵活,2019年11月25日,2019年12月19日 / 3.000亿份,6.03亿元（截止至：2026年06月30日）份额规模2.0709亿份（截止至：2026年06月30日）,2.0709亿份（截止至：2026年06月30日）,博道基金,光大银行,张迎军,每份累计0.00元（0次）,1.20%（每年）,0.15%（每年）,---（每年）,1.00%（前端）,中证800指数收益率*70%+中债-综合全价(总值)指数收益率*30%,该基金无跟踪标的,2019-12-19,混合型-灵活,2019-12-19,,中证800指数收益率*70%+中债-综合全价(总值)指数收益率*30%,博道基金,光大银行,,,1.20%（每年）,0.15%（每年）,---（每年）,,,,,,3.0,2019-12-19,混合型-灵活
8467,8467,博道嘉瑞混合型证券投资基金,博道嘉瑞混合A,008467（前端）基金类型混合型-偏股,混合型-偏股,2019年12月09日,2019年12月30日 / 5.125亿份,2.87亿元（截止至：2026年06月30日）份额规模1.1169亿份（截止至：2026年06月30日）,1.1169亿份（截止至：2026年06月30日）,博道基金,招商银行,张迎军,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证800指数收益率*65%+中证港股通综合指数(人民币)收益率*10%+中债-综合全价(总值)指数收益率*25%,该基金无跟踪标的,2019-12-30,混合型-偏股,2019-12-30,,中证800指数收益率*65%+中证港股通综合指数(人民币)收益率*10%+中债-综合全价(总值)指数收益率*25%,博道基金,招商银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,5.125,2019-12-30,混合型-偏股
8528,8528,华泰柏瑞质量成长混合型证券投资基金,华泰柏瑞质量成长A,008528（前端）基金类型混合型-偏股,混合型-偏股,2020年03月02日,2020年03月18日 / 14.962亿份,60.13亿元（截止至：2026年06月30日）份额规模14.5703亿份（截止至：2026年06月30日）,14.5703亿份（截止至：2026年06月30日）,华泰柏瑞基金,建设银行,陈文凯,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,中证800指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+上证国债指数收益率*20%,该基金无跟踪标的,2020-03-18,混合型-偏股,2020-03-18,,中证800指数收益率*60%+恒生指数收益率(使用估值汇率折算)*20%+上证国债指数收益率*20%,华泰柏瑞基金,建设银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,14.962,2020-03-18,混合型-偏股
8555,8555,华商龙头优势混合型证券投资基金,华商龙头优势混合,008555（前端）基金类型混合型-偏股,混合型-偏股,2020年04月27日,2020年05月22日 / 26.256亿份,75.26亿元（截止至：2026年06月30日）份额规模21.0413亿份（截止至：2026年06月30日）,21.0413亿份（截止至：2026年06月30日）,华商基金,中国银行,彭雾,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,---（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,中证800指数收益率*80%+中债-总全价(总值)指数收益率*10%+中证港股通综合指数(人民币)收益率*10%,该基金无跟踪标的,2020-05-22,混合型-偏股,2020-05-22,,中证800指数收益率*80%+中债-总全价(总值)指数收益率*10%+中证港股通综合指数(人民币)收益率*10%,华商基金,中国银行,,,1.20%（每年）,0.20%（每年）,---（每年）,,,,,,26.256,2020-05-22,混合型-偏股
8734,8734,交银施罗德科锐科技创新混合型证券投资基金,交银科锐科技创新混合A,008734（前端）基金类型混合型-偏股,混合型-偏股,2020年01月15日,2020年01月20日 / 9.896亿份,6.24亿元（截止至：2026年06月30日）份额规模1.6616亿份（截止至：2026年06月30日）,1.6616亿份（截止至：2026年06月30日）,交银施罗德基金,农业银行,高扬,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,中国战略新兴产业成份指数收益率*65%+中证综合债券指数收益率*35%,该基金无跟踪标的,2020-01-20,混合型-偏股,2020-01-20,,中国战略新兴产业成份指数收益率*65%+中证综合债券指数收益率*35%,交银施罗德基金,农业银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,9.896,2020-01-20,混合型-偏股
8988,8988,大成科技创新混合型证券投资基金,大成科技创新混合A,008988（前端）基金类型混合型-偏股,混合型-偏股,2020年04月01日,2020年04月29日 / 6.470亿份,48.72亿元（截止至：2026年06月30日）份额规模7.0512亿份（截止至：2026年06月30日）,7.0512亿份（截止至：2026年06月30日）,大成基金,农业银行,郭玮羚,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,中国战略新兴产业成份指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率*10%,该基金无跟踪标的,2020-04-29,混合型-偏股,2020-04-29,,中国战略新兴产业成份指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率*10%,大成基金,农业银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,6.47,2020-04-29,混合型-偏股
8989,8989,大成科技创新混合型证券投资基金,大成科技创新混合C,008989（前端）基金类型混合型-偏股,混合型-偏股,2020年04月01日,2020年04月29日 / 6.470亿份,201.04亿元（截止至：2026年06月30日）份额规模29.8159亿份（截止至：2026年06月30日）,29.8159亿份（截止至：2026年06月30日）,大成基金,农业银行,郭玮羚,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.40%（每年）,0.00%（前端）,中国战略新兴产业成份指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率*10%,该基金无跟踪标的,2020-04-29,混合型-偏股,2020-04-29,,中国战略新兴产业成份指数收益率*70%+中债综合全价指数收益率*20%+恒生指数收益率*10%,大成基金,农业银行,,,1.20%（每年）,0.20%（每年）,0.40%（每年）,,,,0.00%（前端）,1.50%（前端）,6.47,2020-04-29,混合型-偏股
9049,9049,易方达高端制造混合型发起式证券投资基金,易方达高端制造混合发起式A,009049（前端）基金类型混合型-偏股,混合型-偏股,2020年03月11日,2020年03月16日 / 59.531亿份,98.86亿元（截止至：2026年06月30日）份额规模19.2673亿份（截止至：2026年06月30日）,19.2673亿份（截止至：2026年06月30日）,易方达基金,交通银行,祁禾,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）天天基金优惠费率：0.12%（前端）,中证高端装备制造指数收益率*70%+中证港股通综合指数(人民币)收益率*15%+中债-总全价(总值)指数收益率*15%,该基金无跟踪标的,2020-03-16,混合型-偏股,2020-03-16,,中证高端装备制造指数收益率*70%+中证港股通综合指数(人民币)收益率*15%+中债-总全价(总值)指数收益率*15%,易方达基金,交通银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,59.531,2020-03-16,混合型-偏股
9062,9062,财通智慧成长混合型证券投资基金,财通智慧成长混合A,009062（前端）基金类型混合型-偏股,混合型-偏股,2020年03月18日,2020年04月03日 / 15.550亿份,5.90亿元（截止至：2026年06月30日）份额规模1.3304亿份（截止至：2026年06月30日）,1.3304亿份（截止至：2026年06月30日）,财通基金,工商银行,贾雅楠,每份累计0.00元（0次）,1.20%（每年）,0.20%（每年）,0.00%（每年）,1.20%（前端）,中证500指数收益率*70%+中债综合全价指数收益率*25%+恒生指数收益率*5%,该基金无跟踪标的,2020-04-03,混合型-偏股,2020-04-03,,中证500指数收益率*70%+中债综合全价指数收益率*25%+恒生指数收益率*5%,财通基金,工商银行,,,1.20%（每年）,0.20%（每年）,0.00%（每年）,,,,,,15.55,2020-04-03,混合型-偏股
